timestamp,condition,duration_seconds,frame_count,no_face_frames,multi_face_frames,single_face_frames,aligned_frames,misaligned_frames,low_light_frames,blur_frames,too_far_frames,too_close_frames,accepted_normal_frames,accessory_frames,brightness_mean,brightness_min,brightness_max,sharpness_mean,sharpness_min,sharpness_max,face_width_ratio_mean,face_width_ratio_min,face_width_ratio_max,detector_counts,state_counts
2026-05-14T20:15:12,unspecified,12.4,324,27,0,297,297,0,0,0,0,0,94,203,79.23,62.13,92.86,260.08,106.60,774.15,0.262,0.206,0.319,HOG=5; No face=27; YUNET=292,mask=139; mask_glasses=64; normal=94
2026-05-14T20:18:54,unspecified,12.4,297,73,0,224,224,0,0,0,0,0,103,121,80.24,64.18,129.22,435.36,148.78,905.71,0.251,0.216,0.291,HOG=32; No face=73; YUNET=192,mask=19; mask_glasses=102; normal=103
2026-05-14T20:19:35,unspecified,12.5,282,95,0,187,176,11,0,0,0,0,185,2,99.35,86.09,109.82,355.72,78.67,579.69,0.260,0.225,0.322,HOG=16; No face=95; YUNET=171,mask_glasses=2; normal=185
2026-05-14T20:39:32,unspecified,12.5,314,38,0,276,276,0,0,0,0,0,213,63,80.29,65.62,98.80,289.39,119.31,682.49,0.261,0.234,0.325,HOG=20; No face=38; YUNET=256,glasses=63; normal=213
2026-05-14T20:41:14,unspecified,12.5,310,86,0,224,209,15,0,0,0,0,185,39,90.48,76.95,114.43,429.81,91.77,916.17,0.248,0.216,0.300,HOG=9; No face=86; YUNET=215,glasses=39; normal=185
2026-05-14T20:41:53,unspecified,12.5,252,102,0,150,150,0,0,0,0,0,150,0,90.12,80.10,97.54,328.16,90.36,603.56,0.238,0.216,0.312,HOG=3; No face=102; YUNET=147,normal=150
2026-05-14T20:52:26,real_mask_glasses,15.4,449,8,0,441,440,1,14,14,0,0,71,370,80.70,36.05,90.47,249.24,9.28,579.75,0.243,0.206,0.303,HOG=3; No face=8; YUNET=438,glasses=34; mask=50; mask_glasses=286; normal=71
2026-05-14T20:53:03,real_mask_glasses,15.4,399,53,0,346,346,0,34,0,0,0,101,245,83.55,44.86,120.97,371.33,42.05,969.68,0.234,0.191,0.291,HOG=85; No face=53; YUNET=261,glasses=14; mask=27; mask_glasses=204; normal=101
2026-05-14T20:59:03,real_mask_glasses,15.5,364,65,0,299,297,2,0,0,0,0,268,31,110.96,76.47,133.52,410.48,35.74,777.02,0.236,0.209,0.309,HOG=61; No face=65; YUNET=238,glasses=23; mask=8; normal=268
2026-05-14T21:02:10,real_mask_glasses,15.4,448,0,0,448,448,0,0,0,0,0,374,74,94.47,90.02,100.75,191.20,39.93,334.03,0.245,0.222,0.266,YUNET=448,glasses=25; mask=49; normal=374
2026-05-14T21:02:40,real_mask_glasses,15.4,447,3,0,444,444,0,0,0,0,0,26,418,85.15,72.23,127.80,420.97,140.44,731.15,0.224,0.203,0.287,No face=3; YUNET=444,glasses=393; mask=25; normal=26
2026-05-14T21:03:07,real_mask_glasses,15.5,364,37,0,327,327,0,0,0,0,0,85,242,82.95,66.36,105.52,249.58,63.44,453.72,0.286,0.222,0.388,No face=37; YUNET=327,glasses=172; mask=70; normal=85
2026-05-14T21:03:33,real_mask_glasses,15.5,443,7,0,436,434,2,0,1,0,1,279,157,114.70,82.08,134.19,178.88,23.51,343.74,0.333,0.256,0.516,No face=7; YUNET=436,glasses=111; mask=46; normal=279
2026-05-14T21:03:55,real_mask_glasses,15.5,438,15,0,423,422,1,0,11,0,0,262,161,108.05,64.44,127.55,295.91,16.83,664.74,0.265,0.212,0.484,No face=15; YUNET=423,glasses=8; mask=153; normal=262
2026-05-14T21:17:46,unspecified,12.4,356,5,0,351,327,24,0,9,0,0,141,210,90.05,69.53,96.79,295.57,6.54,479.74,0.272,0.231,0.378,No face=5; YUNET=351,glasses=31; mask=176; mask_glasses=3; normal=141
2026-05-14T21:18:23,unspecified,12.4,361,0,0,361,361,0,0,0,0,0,10,351,86.09,73.73,112.21,486.69,141.82,683.44,0.196,0.175,0.241,YUNET=361,glasses=147; mask=1; mask_glasses=203; normal=10
2026-05-14T21:19:07,unspecified,12.4,334,9,0,325,325,0,0,0,0,0,53,272,92.05,68.49,98.98,425.72,63.29,669.21,0.257,0.228,0.356,No face=9; YUNET=325,glasses=13; mask=219; mask_glasses=40; normal=53
2026-05-14T21:20:07,unspecified,12.5,356,0,0,356,356,0,0,0,0,0,7,349,88.51,65.34,117.31,576.98,157.54,920.66,0.211,0.194,0.234,YUNET=356,glasses=273; mask=27; mask_glasses=49; normal=7
